Gene,LogFC
SPRR2F,5.891690061
ICAM2,5.087322477
SNORD42A,5.04150364
CSF3,4.807986095
PLA2G4E,4.443810939
S100A7,4.181082926
S100A7A,3.687349509
SPRR2E,3.568770164
CXCL5,3.467752397
MIR936,3.183368734
CCL20,3.136661721
CSF2,2.987105226
SPRR2D,2.973976332
HMGN2P46,2.957603157
IL6,2.924712095
TNIP3,2.91111115
IFI27,2.907706222
CES1P1,2.895702069
DDIT4L,2.861841982
IL36G,2.727029001
VNN3,2.679603737
XAF1,2.527539917
MX1,2.503634915
PDZK1IP1,2.425364117
SAA2,2.416269671
IFI6,2.359901374
IL8,2.326987295
IFI44L,2.295476465
MMP9,2.278086528
BCL2A1,2.258794021
MX2,2.224533926
CXCL3,2.224078705
SAA1,2.215198308
KRT78,2.17146457
L3MBTL4,2.136162597
PGLYRP4,2.028078083
TNFSF14,1.968087052
MRGPRX3,1.913231819
VNN1,1.880454274
GPR141,1.864935346
S100A8,1.863867503
C1QTNF1,1.860007568
ICAM1,1.855587538
CFB,1.848700374
GBP5,1.846133398
INHBA,1.81406299
PI3,1.807367662
KRT24,1.795437924
TNF,1.787162761
CXCL6,1.72561192
OAS1,1.693451148
SPRR2A,1.68325041
ZC3H12A,1.668492374
BIRC3,1.653006504
IFITM1,1.614587708
TNFAIP3,1.605646377
LTB,1.599614864
IRAK2,1.596666574
LOC645638,1.577671869
IRF7,1.565549366
KRT6B,1.543620307
TNFAIP2,1.543533008
SOD2,1.513328108
RND1,1.510116748
C3,1.502950296
MGC12916,1.46938115
SERPINA3,1.460831734
C8orf4,1.448927244
CXCL1,1.411762196
TRIML2,1.41116126
PLAT,1.390766482
CXCL2,1.385494902
RHCG,1.343639947
OAS3,1.313068582
HEPHL1,1.303468954
LIF,1.301987669
BST2,1.300256503
MYEOV,1.290004915
HBEGF,1.286740102
OAS2,1.261598491
TNIP1,1.25882218
C15orf62,1.255647731
IRF9,1.245333603
S100A12,1.232191228
C15orf48,1.230807646
IL32,1.215375364
SLC6A14,1.213437914
CYP27B1,1.195845646
ITGB3,1.192311859
KRT75,1.18208367
SERPINB4,1.161703694
P2RY6,1.149673654
C6orf223,1.140124388
MAFF,1.128217267
STAT5A,1.114373118
FAM167A,1.112227691
MUC21,1.110648235
S100A9,1.102176032
MMP13,1.077887773
IL1A,1.067141556
IL1B,1.057005164
EDN1,1.054777685
MAP3K8,1.049262082
MYPN,1.047306151
EPSTI1,1.040698366
TLR2,1.037969729
TYMP,1.034628721
IVL,1.033649433
SOCS3,1.030849911
CWH43,1.027642657
PDGFB,1.011035342
ADAM8,1.01044421
KRT4,1.009544874
PSMB9,1.009333272
HELZ2,1.005541222
NME8,4.808473981
IGFL1,1.043740109
SENP3.EIF4A1,3.348423517
MED4.AS1,2.485953727
HSPB2,4.637148791
SGSM1,4.637148791
SLC26A9,1.619603646
C22orf43,4.622314985
PLA2G4C,1.002469232
RSPO4,4.635809941
NFAM1,2.752135
C11orf94,2.413611623
IL17C,2.756104889
SNORD43,1.1080701
TEPP,1.069252342
HHIPL1,1.1968789
SEC14L4,1.710369526
SNORD4B,4.542328901
IL36A,3.429946713
MYLK2,4.41286584
GRIN1,2.129994537
SYCP3,2.748379355
HCG9,4.401709739
SNORD116.23,4.43829269
MIR642A,4.43829269
C17orf67,1.436232747
MUC22,4.81933734
PCNA.AS1,3.111505646
DNAH17,3.037851828
ETV7,1.488966595
SLC28A3,1.253351261
SYNGR3,1.863275031
PLEKHG7,1.258685735
S100A1,4.262928465
KIF19,4.262928465
ITGB2,1.325434143
HTRA4,3.078557951
CCIN,2.951942404
DSCR9,4.159929346
B3GALT5,3.038884388
NOTCH4,2.160716111
RNF183,1.84191753
LOC285847,4.300377288
OR52N4,4.237256081
LOC619207,1.403616153
PNMA3,4.109753866
SAA4,2.578301041
OR1M1,4.103951047
LOC100506834,4.103951047
CACNA1H,4.103153792
CILP,2.891529411
DUOXA2,1.048241462
PKNOX2,4.186709698
PI15,4.186709698
FAM47C,4.186709698
C1orf127,4.14780877
PTCHD3,4.033904928
FNDC1,4.033904928
PLEKHG4B,4.033537559
HIST1H4E,1.992121522
BEND3P3,2.825620178
HOXA11,4.035640743
PDZD4,4.044625251
SHBG,2.160714157
PITX3,4.058871358
RNU6ATAC,1.596729715
MKRN7P,1.560412686
ANP32AP1,4.082628459
LOC338758,3.982252928
ECSCR,3.982252928
APITD1,3.980353183
RLN1,1.653009711
CEACAM7,1.814234493
C20orf197,1.387252869
NCF1,1.593276889
SPTSSB,1.588362736
PCDHB4,2.877888552
IL2RG,1.904246133
PDE4B,1.662693644
ODF3B,1.005854214
SNORA71B,2.84188938
VNN2,1.805741431
FAM66D,1.827372899
SLCO4A1,2.44678708
AGPAT9,1.25650908
ANKRD36BP1,3.912274623
MEFV,3.912274623
HP,3.912274623
LOC201651,3.912274623
GRIA1,3.912274623
SFRP4,3.912274623
REG4,3.851990971
GYS2,3.851990971
SNORD116.14,3.851990971
LOC255167,3.851990971
HLA.DQA1,3.851990971
SOX11,3.851606265
LOC389791,2.026136878
NOD2,1.062203252
RPLP0P2,1.086709127
TNFAIP6,1.994977789
TMEM74,2.669770838
INPP5J,1.724441968
SPINK6,2.631771691
SNORD6,3.858373151
TAL2,2.62924331
LOC100506178,1.008504078
KIAA0319,2.129728987
WTAPP1,1.288305934
CSMD2,3.757416997
CTAGE11P,3.757416997
HNF1B,3.756858302
EBI3,3.756858302
DRP2,2.193576766
NEURL,2.265041215
CXCL10,1.02389682
LOC100499405,4.136810919
CD28,3.74021708
LOC441009,3.74021708
DOK2,3.74021708
PLCL1,3.697693495
KIF1A,3.697693495
KRTAP19.1,3.697693495
PRDM6,3.697693495
ANKFN1,3.697788325
MIR146A,3.697788325
MYL4,3.696795996
MAPK4,3.696795996
PAX1,3.696795996
CXCR5,3.633489791
SNORA2A,3.633489791
SKAP1,3.633489791
LINC00691,3.633489791
SMC1B,3.633078987
MIR601,3.633078987
PIR.FIGF,3.633078987
DBNDD2,1.675279502
HSPA7,1.553152737
SNORA9,1.666142086
C12orf70,1.049041534
MYO1F,1.687398847
PRSS27,1.03327585
LOC400084,2.554360213
KCNK15,1.879396704
CPZ,2.568063964
PFKFB1,2.291943939
DNAJC12,1.890462321
LINC00176,1.506258425
CTRL,1.676902282
LOC650368,2.558264289
C10orf131,2.52146049
C11orf85,2.503408021
IL19,1.748581389
NLRP14,2.500452782
XK,1.319054737
GTF2IRD1P1,2.075808021
PNLIP,3.532671423
KLRF1,3.532671423
RYR3,3.532671423
SRD5A2,3.532671423
KRTAP21.2,3.532671423
PVRIG,3.532671423
LINC00032,3.532671423
TLR9,2.143908841
INHBA.AS1,2.046609906
TMEM151B,2.148322919
CYP7B1,1.322394221
TACR2,3.577265297
EGLN2,3.577265297
HIST1H3F,3.57666878
LOC254896,2.458107349
SLC38A3,2.510877469
ZNF280A,2.506373405
SNORA71C,2.055204186
LINGO1,3.503358558
LOC100131094,1.51711868
FABP4,2.201457608
SNORA52,1.805472683
MGARP,1.310828045
CPAMD8,1.287448338
PCED1B.AS1,3.432022684
PCDH17,3.432022684
CCR10,3.432022684
LINC00222,3.432022684
CA6,3.431467919
CCL22,1.190929416
PTPRCAP,2.100651349
LOC100130238,2.46552207
CDH16,2.416223709
OCLM,2.136889443
PTGER3,3.361601413
IL20,3.361601413
SCGB2A1,3.361067005
ATPBD4.AS1,3.361067005
MFAP4,3.361067005
LOC100128573,3.361067005
RNF103.CHMP3,3.361067005
HIST1H2BI,3.361067005
BTK,3.361067005
ESYT3,1.424797061
SNORD116.27,2.389875227
SNORA57,1.10194072
AEBP1,1.221088641
LOC644838,2.385664244
LY75,1.392337146
ZNF727,1.159054035
SLC25A18,2.362502605
PKLR,3.293232909
ACTN2,3.293232909
NLRP3,3.293232909
SORCS3,3.293232909
GRM5.AS1,3.293232909
CLEC12B,3.293232909
MIR324,3.293232909
C17orf78,3.293232909
C17orf98,3.293232909
SSTR2,3.293232909
KCNN1,3.293232909
LINC00652,3.293232909
CST2,3.293232909
ENPP6,3.293232909
FGL1,3.293232909
TYRP1,3.293232909
RHOXF1,3.293232909
LCTL,1.553798267
SYP,1.276045733
C5orf46,2.314071293
PCDHGB1,1.373696426
BRE.AS1,1.781807499
RASD1,1.907545487
LINC00696,1.088771291
LOC284009,1.800997563
S100A5,2.337082983
DACH2,1.762951457
CEACAM3,2.346706474
ZBTB20,1.461274426
COL6A2,1.05777498
SNORD38B,1.275896478
HEY2,-5.199142419
GOLGA6L9,-4.967104673
FSCN3,-4.822702098
PTPRQ,-3.6226665
ST8SIA5,-3.539432901
LRRC34,-3.538633825
SSR4P1,-3.023327745
CRYM,-3.008295312
LRRC69,-2.86588013
TPH1,-2.737865096
ANXA2P3,-2.626058321
ANO2,-2.404965907
THSD7A,-2.076791924
ADAM32,-1.958486315
ANKAR,-1.775429705
MCF2,-1.692858725
LGI3,-1.671763505
IFITM10,-1.574486725
RBM20,-1.546106697
NANOS1,-1.521012927
STON1,-1.519306841
PDK4,-1.471093067
CXCL14,-1.455635856
MYLK,-1.45295369
MAP7D2,-1.402713589
FMO5,-1.38481801
LINC00113,-1.380148825
PRODH,-1.356592656
TNNI2,-1.298450771
LOC284080,-1.255375497
NID1,-1.248763853
POU2AF1,-1.24547146
CCDC138,-1.155449928
LINC00672,-1.153830468
ATG9B,-1.147894923
ZNF488,-1.146488363
VTCN1,-1.082586004
CYP4F3,-1.080621189
MIR221,-1.059212722
PPARGC1A,-1.04142084
METTL7A,-1.040922366
LOC646903,-3.490567453
ZNF718,-1.047517014
TAS1R3,-3.628777977
FRY,-1.478617918
LOC283710,-4.57679808
MIR98,-4.57679808
PRSS35,-4.483164993
MAT1A,-4.480246875
FOXN1,-1.772139449
MIR23C,-4.439432926
CPA2,-4.441860633
EEF1E1,-1.726726032
SEMA6D,-1.165607799
DNAH7,-2.211989266
C2orf88,-3.39985865
SLC27A6,-1.336742978
ST7.OT4,-3.454524454
MAOB,-1.35774207
KLF2,-2.820889173
COMP,-4.40370054
CD36,-1.272350241
LOC440028,-1.295409059
C15orf27,-2.667843855
SELP,-4.587202201
ASPRV1,-2.103007996
DNAH9,-1.610316342
SNORD33,-4.261193365
SNORD16,-4.365183528
ANXA13,-4.25960861
TEKT5,-4.239228187
CASD1,-1.202795068
CBX3P2,-2.880649982
TPTE2P1,-1.398734696
PVRL3.AS1,-4.216317016
PALM2,-1.287988646
SLC6A2,-1.743333062
ACVR1C,-2.056646012
LY96,-2.811107155
LOC401109,-1.67806951
ASXL3,-1.598241268
CCDC121,-1.082553836
TLL1,-1.655271423
LUST,-4.849127505
C1orf168,-3.114676212
ZNF483,-1.51533411
WDR11.AS1,-4.451737719
IL2RB,-1.617761223
LOC100131347,-4.175161458
DSG1,-4.175161458
CERKL,-4.175161458
LOC100287944,-4.171670584
KCNE1L,-2.038575727
FAM131B,-1.15807685
SEMA3G,-2.369352652
BMP7,-1.104846344
MCF2L2,-1.613419619
IGSF23,-3.01023793
MIR548N,-4.289923663
ZBTB16,-1.875948132
PINLYP,-1.139607195
CACNB4,-1.418684843
SYT16,-1.213085779
EGR2,-2.292824802
C1QL1,-4.003171538
CACNA1G,-4.003171538
LHX1,-3.981659801
LOC646736,-3.981659801
C6orf99,-3.981659801
EAF2,-1.277063244
KIT,-4.072849222
MGC2889,-3.043733233
C6orf58,-4.011730798
KCNU1,-4.011730798
EPHA5,-4.00028004
LOC728989,-3.981994642
SNORD88C,-3.981994642
LRRC70,-3.981994642
TNNT3,-3.975592368
RPL23P8,-3.975592368
MIR330,-4.104007867
PITX2,-4.104007867
DMGDH,-4.104007867
GPR150,-4.104007867
CSF1R,-1.470128204
SLCO2A1,-4.080182731
KRTAP29.1,-4.034733596
GPR4,-2.95245844
LOC100287846,-3.94755224
ALMS1P,-3.94417901
MSTN,-3.94417901
LINC00615,-2.734490111
PFN4,-1.902659853
CLDN23,-1.051602899
ALG1L,-2.263292736
FBLN2,-1.013147613
NME9,-1.957857356
RASGRF1,-1.777726617
GIPC2,-1.550751829
MIR125B2,-3.883833654
KCNE1,-3.883833654
TMSB15A,-3.883833654
IYD,-1.174478992
ESRRB,-2.401506665
RPS15AP10,-1.870782195
DBIL5P,-1.339365059
HEPH,-1.648801659
POU3F1,-1.600870083
HRNR,-3.088517601
SNED1,-1.876199653
C2CD4C,-1.757391975
SCG3,-3.759066493
CATSPER4,-3.755332276
CLDN20,-3.755332276
GABRQ,-3.755332276
VPS13A.AS1,-3.751604936
LHFPL1,-3.751604936
AHSG,-3.747884462
ALS2CR11,-2.399672268
LINGO2,-3.744170839
DLG2,-1.021503256
LRRC7,-3.727993039
KCNH4,-3.727993039
TMEM108,-3.727993039
LOC100507250,-3.720635491
RD3,-3.716966908
FGF14,-3.716966908
LOC100128288,-1.102458552
CLDN19,-3.693680346
TMEM121,-3.693680346
TMEM59L,-3.693680346
KIF5C,-3.69005657
FDCSP,-3.69005657
RNF5P1,-3.69005657
ARSE,-1.830830417
KLHDC1,-1.571611211
TTC36,-3.667018843
JAM2,-3.667018843
PKHD1,-3.667018843
VASH2,-3.663439593
KRT32,-3.663439593
TMEM100,-3.663439593
TMPRSS3,-3.663439593
PKDREJ,-3.663439593
RAET1K,-3.663439593
LOC646626,-1.022169835
PPT2.EGFL8,-2.106481523
KDM4E,-3.637115364
LINC00398,-3.637115364
EFCC1,-3.637115364
ENPEP,-3.637115364
SPAG11B,-3.637115364
RORB,-3.637115364
CXorf31,-3.637115364
TCEAL5,-3.637115364
GNRHR2,-1.018602422
CCNO,-1.016332997
TAT,-2.002934063
ABCC11,-1.111721307
LOC100288911,-1.067581011
DAPL1,-2.03980587
LOC100133612,-1.911949516
LOH12CR2,-1.594549759
ACRBP,-1.328242519
MIR503,-2.677794248
ABP1,-2.29711261
DLG5.AS1,-1.541413902
GADD45G,-1.863867415
MAP2K6,-1.183442403
TPTE2P6,-2.297009395
FAM181B,-1.049445359
PTCD1,-2.697861001
TIMP4,-1.561546548
RCSD1,-1.520410788
DPF3,-1.330771138
TRAM1L1,-1.360160655
SLC10A5,-2.401300172
ZNF474,-2.66882813
FAM167B,-1.920601384
CATSPERG,-1.024402979
GPR19,-2.809109388
SNORD116.13,-2.85647967
LINC00239,-2.81354558
SH3GL3,-1.209502875
C1orf180,-2.682480152
FMO3,-1.718978392
SPOCK3,-1.321282763
STK32B,-2.169978894
C8orf76,-1.57808585
MIR29B2,-2.362473214
GAS5.AS1,-1.930226459
FGF14.AS2,-1.854102221
TNFSF13B,-1.399255393
LOC256880,-2.727077372
LOC100133286,-1.671604303
TRHDE,-2.582894564
LOC100289495,-1.109235501
ZNF404,-1.079758362
ASPA,-2.644890628
MGC39372,-1.826620226
SULT1C2,-1.933352225
FGF18,-1.822284608
MIR30C1,-3.367925307
ZNF32.AS1,-3.367925307
HOXC10,-3.367925307
KL,-3.367925307
ADAD2,-3.367925307
FLJ43681,-3.367925307
KLK4,-3.367925307
CYP1B1.AS1,-3.367925307
INHBB,-3.367925307
PLA1A,-3.367925307
MTMR7,-3.367925307
ARC,-3.367925307
BGN,-3.367925307
CLCNKB,-3.36408767
LINC00277,-3.36408767
HBA1,-3.36408767
HLF,-3.36408767
VIT,-3.36408767
FBLN7,-3.36408767
TUBB1,-3.36408767
SLC26A1,-3.36408767
TMEM200A,-3.36408767
RHD,-3.360257951
CTAGE7P,-3.360257951
SLC43A1,-3.360257951
LOC100131626,-3.360257951
ZNF705A,-3.360257951
CHRNG,-3.360257951
CD247,-3.356436128
MAGEL2,-3.356436128
MIR631,-3.356436128
UPP2,-3.356436128
HTR2B,-3.356436128
UMODL1,-3.356436128
GADL1,-3.356436128
DNASE1L3,-3.356436128
JAZF1.AS1,-3.356436128
GRPR,-3.356436128
RAB19,-2.730739804
ARHGEF26.AS1,-2.55470353
NTN5,-1.657447458
SNORD74,-1.223954139
NEK10,-1.143501055
PKD1L2,-1.275778636
ALOX15,-1.689286526
HFM1,-3.335490607
KNDC1,-3.335490607
MKRN9P,-3.335490607
CPB2,-3.335490607
FAM47E,-3.335490607
TRIML1,-3.335490607
PABPC5,-3.335490607
MIR3613,-3.331715055
IL21R.AS1,-3.331715055
SLC4A1,-3.331715055
C20orf203,-3.331715055
BET3L,-3.331715055
ADAMTS3,-1.59008558
FAM86HP,-1.062571152
C2orf71,-3.327947271
MIR4786,-3.327947271
SLCO1B3,-1.554021107
MYOZ1,-3.303541331
HTR3A,-3.303541331
CYP2A6,-3.303541331
CNBD2,-3.303541331
HIST1H2AH,-3.303541331
CELP,-3.303541331
HPSE2,-3.299826876
MESP1,-3.299826876
DYNAP,-3.299826876
TUBB4A,-3.299826876
APOB,-3.299826876
CCR3,-2.560723296
ALDH1A2,-2.264520984
C18orf56,-1.352752284
KIAA1239,-1.180833264
MIR137HG,-3.272071293
ZNF32.AS3,-3.272071293
HABP2,-3.272071293
PRLHR,-3.272071293
ACY3,-3.272071293
HOXC.AS5,-3.272071293
RNASE8,-3.272071293
SNORD116.15,-3.272071293
PLA2G4D,-3.272071293
GPR97,-3.272071293
MIR4720,-3.272071293
LOC100287072,-3.272071293
NOL4,-3.272071293
BEST2,-3.272071293
HIF3A,-3.272071293
LOC401134,-3.272071293
PSD2,-3.272071293
PCDHA5,-3.272071293
RASGEF1C,-3.272071293
PI16,-3.272071293
MUC12,-3.272071293
MIR593,-3.272071293
MIRLET7D,-3.272071293
OR1Q1,-3.272071293
DKFZp686D0853,-3.272071293
PAK7,-1.220120031
ATP1A3,-1.017992861
FLJ11235,-1.004620501
CD14,-1.331573238
TSC22D1.AS1,-1.227412007
SLC11A1,-1.402163028
GLI2,-1.13653269
BAAT,-1.667577164
SSC5D,-1.90365549
KRT74,-1.497221664
NGEF,-1.010832933
CASS4,-1.022257705
KCNRG,-2.476683804
CAMP,-2.458878257
TEX21P,-2.438580298
LAG3,-1.606919021
MIR296,-2.476827256
ASIC4,-2.526276985
ATP6V1G2,-1.392913931
CDH19,-2.133328623
SNORD57,-2.174522528
TPGS1,-1.418286945
FCGBP,-1.906532753
APC2,-1.132392982
TTC25,-1.367680137
CCDC158,-1.500990671
CETN4P,-2.426577351
LOC574538,-2.244378486
SGK2,-1.893691991
LOC100287225,-1.308979043
CAPN9,-1.739625584
SPINK7,-1.607297069
ALS2CR12,-1.289191697
LOC100216479,-2.397704171
C2orf82,-1.650880208
ARHGAP20,-1.586874408
RPGRIP1,-2.433525267
VPS37D,-1.00690989
LOC644554,-1.352243036
GYPC,-1.160393119
JMJD1C.AS1,-1.252562126
FLJ35390,-1.275679554
